x,y,z,color,target,time,
-0.028233,-0.0505264,-0.954375,41,1,0.001, 
-0.028233,-0.0505264,-0.954375,41,1,0.002, 
-0.028233,-0.0505264,-0.954375,41,1,0.003, 
-0.028233,-0.0505264,-0.954375,41,1,0.004, 
-0.028233,-0.0505264,-0.954375,41,1,0.005, 
-0.0298014,-0.0505264,-0.954386,41,1,0.006, 
-0.0313699,-0.0505264,-0.954399,41,1,0.008, 
-0.0313795,-0.0513172,-0.953232,41,1,0.008, 
-0.0329484,-0.0513172,-0.953245,41,1,0.009, 
-0.0345174,-0.0513172,-0.953259,41,1,0.01, 
-0.0360863,-0.0513172,-0.953273,41,1,0.011, 
-0.0376552,-0.0513172,-0.953288,41,1,0.012, 
-0.0392241,-0.0513172,-0.953304,41,1,0.013, 
-0.040793,-0.0513172,-0.953321,41,1,0.014, 
-0.0423619,-0.0513172,-0.953338,41,1,0.015, 
-0.0439308,-0.0513172,-0.953356,41,1,0.016, 
-0.0454997,-0.0513172,-0.953374,41,1,0.017, 
-0.0454997,-0.0513172,-0.953374,41,1,0.018, 
-0.0470686,-0.0513172,-0.953393,41,1,0.019, 
-0.0486374,-0.0513172,-0.953413,41,1,0.02, 
-0.0502063,-0.0513172,-0.953433,41,1,0.021, 
-0.0502218,-0.0505522,-0.952251,41,1,0.022, 
-0.0517912,-0.0505522,-0.952272,41,1,0.023, 
-0.0533605,-0.0505522,-0.952293,41,1,0.024, 
-0.0549298,-0.0505522,-0.952316,41,1,0.026, 
-0.0549298,-0.0505522,-0.952316,41,1,0.026, 
-0.0564991,-0.0505522,-0.952339,41,1,0.027, 
-0.0580684,-0.0505522,-0.952362,41,1,0.028, 
-0.0596377,-0.0505522,-0.952386,41,1,0.029, 
-0.0596377,-0.0505522,-0.952386,41,1,0.03, 
-0.061207,-0.0505522,-0.952411,41,1,0.031, 
-0.0612447,-0.0505779,-0.950062,41,1,0.032, 
-0.0628149,-0.0505779,-0.950088,41,1,0.033, 
-0.0628149,-0.0505779,-0.950088,41,1,0.034, 
-0.0628149,-0.0505779,-0.950088,41,1,0.035, 
-0.0643852,-0.0505779,-0.950114,41,1,0.036, 
-0.0643852,-0.0505779,-0.950114,41,1,0.037, 
-0.0643852,-0.0505779,-0.950114,41,1,0.038, 
-0.0644048,-0.0513697,-0.948948,41,1,0.039, 
-0.0644048,-0.0513697,-0.948948,41,1,0.041, 
-0.0659755,-0.0513697,-0.948974,41,1,0.041, 
-0.0659755,-0.0513697,-0.948974,41,1,0.042, 
-0.0659755,-0.0513697,-0.948974,41,1,0.043, 
-0.0675668,-0.0521619,-0.947836,41,1,0.044, 
-0.0675668,-0.0521619,-0.947836,41,1,0.046, 
-0.0675668,-0.0521619,-0.947836,41,1,0.046, 
