x,y,z,color,target,time,
0.235492,-0.0146684,0.880795,240,5,0, 
0.235492,-0.0146684,0.880795,240,5,0.001, 
0.235492,-0.0146684,0.880795,240,5,0.002, 
0.235492,-0.0146684,0.880795,240,5,0.003, 
0.233233,-0.0146478,0.881388,240,5,0.004, 
0.230974,-0.0146271,0.881981,240,5,0.005, 
0.226455,-0.0145858,0.883163,240,5,0.006, 
0.224195,-0.0145651,0.883752,240,5,0.007, 
0.222127,-0.0157031,0.885122,240,5,0.008, 
0.219866,-0.0156824,0.88571,240,5,0.009, 
0.215344,-0.0156411,0.886883,240,5,0.01, 
0.213082,-0.0156205,0.887468,240,5,0.012, 
0.21082,-0.0155999,0.888052,240,5,0.012, 
0.206296,-0.0155586,0.889218,240,5,0.013, 
0.206296,-0.0155586,0.889218,240,5,0.014, 
0.204034,-0.0155379,0.889799,240,5,0.015, 
0.204034,-0.0155379,0.889799,240,5,0.016, 
0.201771,-0.0155173,0.89038,240,5,0.017, 
0.199508,-0.0154967,0.890959,240,5,0.018, 
0.199508,-0.0154967,0.890959,240,5,0.019, 
0.197245,-0.015476,0.891538,240,5,0.02, 
0.194981,-0.0154554,0.892116,240,5,0.021, 
0.192717,-0.0154348,0.892692,240,5,0.022, 
0.192717,-0.0154348,0.892692,240,5,0.023, 
0.188189,-0.0153935,0.893843,240,5,0.024, 
0.185925,-0.0153729,0.894417,240,5,0.025, 
0.18366,-0.0153523,0.89499,240,5,0.026, 
0.17913,-0.015311,0.896133,240,5,0.027, 
0.176865,-0.0152904,0.896704,240,5,0.028, 
0.174599,-0.0152698,0.897273,240,5,0.029, 
0.172333,-0.0152492,0.897841,240,5,0.03, 
0.170252,-0.0163874,0.899191,240,5,0.031, 
0.167986,-0.0163668,0.899757,240,5,0.032, 
0.165515,-0.0175038,0.899548,240,5,0.033, 
0.163248,-0.0174832,0.900112,240,5,0.034, 
0.160981,-0.0174626,0.900676,240,5,0.035, 
0.158694,-0.0197584,0.901244,240,5,0.036, 
0.156427,-0.0197378,0.901806,240,5,0.037, 
0.151891,-0.0196966,0.902927,240,5,0.038, 
0.149603,-0.0219925,0.903491,240,5,0.039, 
0.147335,-0.0219719,0.904049,240,5,0.04, 
0.142777,-0.0242472,0.905166,240,5,0.041, 
0.140508,-0.0242266,0.905722,240,5,0.042, 
0.135969,-0.0241854,0.906829,240,5,0.043, 
0.133679,-0.0264813,0.907385,240,5,0.044, 
0.129139,-0.0264401,0.908487,240,5,0.045, 
0.124578,-0.0287155,0.909587,240,5,0.046, 
0.122307,-0.0286949,0.910135,240,5,0.047, 
0.117941,-0.0298145,0.912009,240,5,0.048, 
0.115649,-0.0321107,0.912555,240,5,0.049, 
0.111104,-0.0320695,0.913642,240,5,0.05, 
0.108635,-0.0332044,0.913404,240,5,0.051, 
0.104265,-0.0343246,0.915266,240,5,0.052, 
0.0995229,-0.0354386,0.915563,240,5,0.053, 
0.0949547,-0.037714,0.916635,240,5,0.054, 
0.0926809,-0.0376934,0.917171,240,5,0.055, 
0.0881112,-0.0399688,0.918237,240,5,0.056, 
0.0814587,-0.0410694,0.920613,240,5,0.057, 
0.0767152,-0.0421824,0.920889,240,5,0.058, 
0.072164,-0.0421413,0.921944,240,5,0.059, 
0.06759,-0.0444167,0.922991,240,5,0.06, 
0.0628464,-0.0455292,0.923255,240,5,0.062, 
0.0559941,-0.0477837,0.924813,240,5,0.062, 
0.0514397,-0.0477427,0.925852,240,5,0.063, 
0.046862,-0.0500178,0.92688,240,5,0.064, 
0.0421178,-0.0511292,0.927124,240,5,0.065, 
0.0375388,-0.053404,0.928143,240,5,0.066, 
0.0329817,-0.053363,0.929166,240,5,0.067, 
0.0284008,-0.0556378,0.930177,240,5,0.068, 
0.0238421,-0.0555968,0.931193,240,5,0.069, 
0.0192594,-0.0578716,0.932195,240,5,0.07, 
0.0148603,-0.0589951,0.933981,240,5,0.071, 
0.0101145,-0.0601054,0.934196,240,5,0.072, 
0.00552896,-0.0623801,0.935185,240,5,0.073, 
0.000966103,-0.0623392,0.936183,240,5,0.074, 
-0.00590331,-0.0645935,0.937658,240,5,0.075, 
-0.0103107,-0.065718,0.939424,240,5,0.076, 
-0.0150577,-0.0668274,0.939616,240,5,0.077, 
-0.0217519,-0.0679317,0.941863,240,5,0.078, 
-0.0263442,-0.0702069,0.942822,240,5,0.08, 
-0.0331982,-0.0701455,0.944277,240,5,0.08, 
-0.0377926,-0.0724207,0.945227,240,5,0.081, 
-0.042211,-0.0735464,0.946965,240,5,0.082, 
-0.0466316,-0.0746726,0.9487,240,5,0.083, 
-0.0536681,-0.0757606,0.949335,240,5,0.084, 
-0.0580923,-0.0768871,0.95106,240,5,0.085, 
-0.0626928,-0.0791629,0.951986,240,5,0.086, 
-0.0672694,-0.079122,0.952927,240,5,0.087, 
-0.0716986,-0.0802491,0.954641,240,5,0.088, 
-0.0785919,-0.0825048,0.95602,240,5,0.089, 
-0.0831968,-0.0847809,0.956926,240,5,0.09, 
-0.0876318,-0.085909,0.958626,240,5,0.091, 
-0.0945052,-0.0858478,0.960005,240,5,0.092, 
-0.0991135,-0.0881242,0.960898,240,5,0.093, 
-0.103554,-0.0892529,0.962583,240,5,0.094, 
-0.114903,-0.0926387,0.965595,240,5,0.096, 
-0.114903,-0.0926387,0.965595,240,5,0.096, 
-0.11935,-0.0937683,0.967267,240,5,0.097, 
-0.123939,-0.0937275,0.968162,240,5,0.098, 
-0.13085,-0.0959846,0.96947,240,5,0.099, 
-0.135302,-0.0971149,0.971129,240,5,0.1, 
-0.13992,-0.0993927,0.971983,240,5,0.101, 
-0.142079,-0.100544,0.973194,240,5,0.102, 
-0.146673,-0.100503,0.97407,240,5,0.103, 
-0.151132,-0.101635,0.975715,240,5,0.104, 
-0.155593,-0.102766,0.977355,240,5,0.105, 
-0.157918,-0.105065,0.977758,240,5,0.106, 
-0.162516,-0.105024,0.978621,240,5,0.107, 
-0.166981,-0.106157,0.980251,240,5,0.108, 
-0.169147,-0.10731,0.98145,240,5,0.109, 
-0.173616,-0.108442,0.983074,240,5,0.11, 
-0.176075,-0.109569,0.982698,240,5,0.112, 
-0.180546,-0.110702,0.984316,240,5,0.112, 
-0.182716,-0.111856,0.985508,240,5,0.113, 
-0.184888,-0.11301,0.986699,240,5,0.114, 
-0.187347,-0.114136,0.986317,240,5,0.115, 
-0.18952,-0.11529,0.987506,240,5,0.116, 
-0.191693,-0.116445,0.988694,240,5,0.117, 
-0.194152,-0.117571,0.988308,240,5,0.118, 
-0.196327,-0.118726,0.989493,240,5,0.119, 
-0.19863,-0.118705,0.98991,240,5,0.12, 
-0.198657,-0.121027,0.989873,240,5,0.121, 
-0.200833,-0.122182,0.991056,240,5,0.122, 
-0.203138,-0.122162,0.99147,240,5,0.123, 
-0.203292,-0.123307,0.990665,240,5,0.124, 
-0.205624,-0.125608,0.99104,240,5,0.125, 
-0.207801,-0.126765,0.992219,240,5,0.126, 
-0.207955,-0.127909,0.991414,240,5,0.128, 
-0.21026,-0.127889,0.991825,240,5,0.129, 
-0.212592,-0.13019,0.992196,240,5,0.129, 
-0.212592,-0.13019,0.992196,240,5,0.13, 
-0.21262,-0.132511,0.992154,240,5,0.131, 
-0.215078,-0.133634,0.991757,240,5,0.132, 
-0.215231,-0.134778,0.990949,240,5,0.133, 
-0.215106,-0.135955,0.991714,240,5,0.134, 
-0.217563,-0.137078,0.991315,240,5,0.135, 
-0.217563,-0.137078,0.991315,240,5,0.136, 
-0.217717,-0.138221,0.990506,240,5,0.137, 
-0.219896,-0.139378,0.991678,240,5,0.138, 
-0.220049,-0.14052,0.990869,240,5,0.139, 
-0.220202,-0.141662,0.990059,240,5,0.14, 
-0.222506,-0.141642,0.990466,240,5,0.141, 
-0.222381,-0.14282,0.99123,240,5,0.142, 
-0.222534,-0.143962,0.99042,240,5,0.143, 
-0.224838,-0.143942,0.990826,240,5,0.145, 
-0.224838,-0.143942,0.990826,240,5,0.145, 
-0.224991,-0.145083,0.990015,240,5,0.146, 
-0.224991,-0.145083,0.990015,240,5,0.147, 
-0.227447,-0.146203,0.989608,240,5,0.148, 
-0.227447,-0.146203,0.989608,240,5,0.149, 
-0.227599,-0.147344,0.988797,240,5,0.15, 
-0.227599,-0.147344,0.988797,240,5,0.152, 
-0.227476,-0.148523,0.989561,240,5,0.152, 
-0.229779,-0.148502,0.989964,240,5,0.153, 
-0.229779,-0.148502,0.989964,240,5,0.155, 
-0.229931,-0.149643,0.989152,240,5,0.155, 
-0.232235,-0.149622,0.989554,240,5,0.156, 
-0.232235,-0.149622,0.989554,240,5,0.158, 
-0.232235,-0.149622,0.989554,240,5,0.158, 
-0.234538,-0.149602,0.989956,240,5,0.159, 
-0.23469,-0.150742,0.989143,240,5,0.161, 
-0.23469,-0.150742,0.989143,240,5,0.162, 
-0.236993,-0.150722,0.989544,240,5,0.163, 
-0.236993,-0.150722,0.989544,240,5,0.163, 
-0.239297,-0.150701,0.989943,240,5,0.164, 
-0.239297,-0.150701,0.989943,240,5,0.166, 
-0.2416,-0.150681,0.990342,240,5,0.166, 
-0.2416,-0.150681,0.990342,240,5,0.167, 
-0.243904,-0.150661,0.99074,240,5,0.169, 
-0.243904,-0.150661,0.99074,240,5,0.169, 
-0.246208,-0.15064,0.991137,240,5,0.17, 
