x,y,z,color,target,time,
0.0245944,-0.0117437,0.2155,1,1,0.001, 
0.0245944,-0.0117437,0.2155,1,1,0.002, 
0.0245944,-0.0117437,0.2155,1,1,0.003, 
0.0245944,-0.0117437,0.2155,1,1,0.004, 
0.0245944,-0.0117437,0.2155,1,1,0.005, 
0.0245944,-0.0117437,0.2155,1,1,0.006, 
0.0245944,-0.0117437,0.2155,1,1,0.007, 
0.0245944,-0.0117437,0.2155,1,1,0.008, 
0.0245944,-0.0117437,0.2155,1,1,0.01, 
0.0245944,-0.0117437,0.2155,1,1,0.01, 
0.0245944,-0.0117437,0.2155,1,1,0.011, 
0.0245944,-0.0117437,0.2155,1,1,0.012, 
0.0245944,-0.0117437,0.2155,1,1,0.013, 
0.0225449,-0.0117437,0.21551,1,1,0.014, 
0.0225449,-0.0117437,0.21551,1,1,0.015, 
0.0225449,-0.0117437,0.21551,1,1,0.016, 
0.0225449,-0.0117437,0.21551,1,1,0.017, 
0.0225449,-0.0117437,0.21551,1,1,0.018, 
0.0225449,-0.0117437,0.21551,1,1,0.019, 
0.0225449,-0.0117437,0.21551,1,1,0.02, 
0.0225449,-0.0117437,0.21551,1,1,0.021, 
0.0225449,-0.0117437,0.21551,1,1,0.022, 
0.0225449,-0.0117437,0.21551,1,1,0.023, 
0.0225449,-0.0117437,0.21551,1,1,0.024, 
0.0225449,-0.0117437,0.21551,1,1,0.025, 
0.0225449,-0.0117437,0.21551,1,1,0.027, 
0.0225449,-0.0117437,0.21551,1,1,0.028, 
0.0225449,-0.0117437,0.21551,1,1,0.028, 
0.0225449,-0.0117437,0.21551,1,1,0.029, 
0.0225449,-0.0117437,0.21551,1,1,0.03, 
0.0225449,-0.0117437,0.21551,1,1,0.031, 
0.0225449,-0.0117437,0.21551,1,1,0.032, 
0.0225449,-0.0117437,0.21551,1,1,0.033, 
0.0225449,-0.0117437,0.21551,1,1,0.034, 
0.0225449,-0.0117437,0.21551,1,1,0.035, 
0.0225449,-0.0117437,0.21551,1,1,0.036, 
0.0225449,-0.0117437,0.21551,1,1,0.037, 
0.0225449,-0.0117437,0.21551,1,1,0.038, 
0.0225449,-0.0117437,0.21551,1,1,0.039, 
0.0225449,-0.0117437,0.21551,1,1,0.04, 
0.0225449,-0.0117437,0.21551,1,1,0.041, 
0.0225449,-0.0117437,0.21551,1,1,0.042, 
0.0225449,-0.0117437,0.21551,1,1,0.043, 
0.0225449,-0.0117437,0.21551,1,1,0.045, 
0.0225449,-0.0117437,0.21551,1,1,0.045, 
0.0225449,-0.0117437,0.21551,1,1,0.046, 
0.0225449,-0.0117437,0.21551,1,1,0.047, 
0.0225449,-0.0117437,0.21551,1,1,0.048, 
0.0225449,-0.0117437,0.21551,1,1,0.049, 
0.0225449,-0.0117437,0.21551,1,1,0.05, 
0.0225449,-0.0117437,0.21551,1,1,0.051, 
0.0225449,-0.0117437,0.21551,1,1,0.052, 
0.0225449,-0.0117437,0.21551,1,1,0.053, 
0.0225449,-0.0117437,0.21551,1,1,0.054, 
0.0225449,-0.0117437,0.21551,1,1,0.055, 
