x,y,z,color,target,time,
-0.014014,-0.00270125,0.0999063,150,5,0.001, 
-0.014014,-0.00270125,0.0999063,150,5,0.002, 
-0.014014,-0.00270125,0.0999063,150,5,0.003, 
-0.014014,-0.00270125,0.0999063,150,5,0.004, 
-0.014014,-0.00270125,0.0999063,150,5,0.005, 
-0.0160159,-0.00270125,0.0999002,150,5,0.006, 
-0.0180179,-0.00270125,0.0998932,150,5,0.007, 
-0.020024,-0.00369315,0.100888,150,5,0.008, 
-0.0220264,-0.00369315,0.100879,150,5,0.009, 
-0.0240288,-0.00369315,0.100869,150,5,0.01, 
-0.0260312,-0.00369315,0.100859,150,5,0.011, 
-0.0300359,-0.00369315,0.100836,150,5,0.012, 
-0.0320383,-0.00369315,0.100823,150,5,0.013, 
-0.0340407,-0.00369315,0.10081,150,5,0.014, 
-0.036043,-0.00369315,0.100795,150,5,0.015, 
-0.036043,-0.00369315,0.100795,150,5,0.016, 
-0.0380454,-0.00369315,0.10078,150,5,0.017, 
-0.0400477,-0.00369315,0.100764,150,5,0.018, 
-0.0420501,-0.00369315,0.100747,150,5,0.019, 
-0.0420501,-0.00369315,0.100747,150,5,0.02, 
-0.0420501,-0.00369315,0.100747,150,5,0.021, 
-0.0440524,-0.00369315,0.100729,150,5,0.022, 
-0.048057,-0.00369315,0.100692,150,5,0.023, 
-0.0500593,-0.00369315,0.100671,150,5,0.024, 
-0.0500593,-0.00369315,0.100671,150,5,0.025, 
-0.0540639,-0.00369315,0.100629,150,5,0.026, 
-0.0580685,-0.00369315,0.100582,150,5,0.027, 
-0.0600707,-0.00369315,0.100558,150,5,0.028, 
-0.0640752,-0.00369315,0.100507,150,5,0.029, 
-0.0660775,-0.00369315,0.10048,150,5,0.03, 
-0.0660775,-0.00369315,0.10048,150,5,0.031, 
-0.0680797,-0.00369315,0.100453,150,5,0.032, 
-0.0720841,-0.00369315,0.100395,150,5,0.033, 
-0.0740863,-0.00369315,0.100365,150,5,0.034, 
-0.0760884,-0.00369315,0.100334,150,5,0.035, 
-0.0780906,-0.00369315,0.100303,150,5,0.036, 
-0.0780906,-0.00369315,0.100303,150,5,0.037, 
-0.0800927,-0.00369315,0.10027,150,5,0.038, 
-0.0800927,-0.00369315,0.10027,150,5,0.039, 
-0.084097,-0.00369315,0.100202,150,5,0.04, 
-0.0881012,-0.00369315,0.100132,150,5,0.041, 
-0.0901032,-0.00369315,0.100095,150,5,0.042, 
-0.0901032,-0.00369315,0.100095,150,5,0.043, 
-0.0941073,-0.00369315,0.100019,150,5,0.044, 
-0.0981114,-0.00369315,0.0999402,150,5,0.045, 
-0.100113,-0.00369315,0.0998995,150,5,0.046, 
-0.104117,-0.00369315,0.0998155,150,5,0.047, 
-0.106119,-0.00369315,0.0997723,150,5,0.048, 
-0.106119,-0.00369315,0.0997723,150,5,0.049, 
-0.108121,-0.00369315,0.0997282,150,5,0.05, 
-0.112125,-0.00369315,0.0996377,150,5,0.051, 
-0.114127,-0.00369315,0.0995912,150,5,0.052, 
-0.116129,-0.00369315,0.0995438,150,5,0.053, 
-0.116129,-0.00369315,0.0995438,150,5,0.054, 
-0.118106,-0.00468648,0.0984978,150,5,0.055, 
-0.12411,-0.00468648,0.0983484,150,5,0.056, 
-0.12411,-0.00468648,0.0983484,150,5,0.057, 
-0.126112,-0.00468648,0.098297,150,5,0.058, 
-0.130088,-0.00369458,0.0971898,150,5,0.059, 
-0.130088,-0.00369458,0.0971898,150,5,0.06, 
-0.132088,-0.00369458,0.0971359,150,5,0.061, 
-0.13609,-0.00369458,0.0970256,150,5,0.062, 
-0.13609,-0.00369458,0.0970256,150,5,0.063, 
-0.138091,-0.00369458,0.0969693,150,5,0.064, 
-0.142092,-0.00369458,0.096854,150,5,0.065, 
-0.142092,-0.00369458,0.096854,150,5,0.066, 
-0.142092,-0.00369458,0.096854,150,5,0.067, 
-0.144093,-0.00369458,0.0967952,150,5,0.068, 
-0.146094,-0.00369458,0.0967355,150,5,0.069, 
-0.148094,-0.00369458,0.0966751,150,5,0.07, 
-0.150095,-0.00369458,0.0966137,150,5,0.071, 
-0.152096,-0.00369458,0.0965516,150,5,0.072, 
-0.154096,-0.00369458,0.0964887,150,5,0.073, 
-0.156097,-0.00369458,0.0964249,150,5,0.074, 
-0.156097,-0.00369458,0.0964249,150,5,0.075, 
-0.158097,-0.00369458,0.0963603,150,5,0.076, 
-0.160065,-0.00270308,0.0952928,150,5,0.077, 
-0.162065,-0.00270308,0.0952266,150,5,0.078, 
-0.162065,-0.00270308,0.0952266,150,5,0.079, 
-0.164065,-0.00270308,0.0951596,150,5,0.08, 
-0.168065,-0.00270308,0.095023,150,5,0.081, 
