x,y,z,color,target,time,
0,0.0095114,1.48704,80,5,0, 
0,0.0095114,1.48704,80,5,0.001, 
0,0.0095114,1.48704,80,5,0.002, 
0,0.0095114,1.48704,80,5,0.003, 
-0.00257237,0.0095114,1.48704,80,5,0.004, 
-0.00514475,0.0095114,1.48704,80,5,0.006, 
-0.0102895,0.0095114,1.48703,80,5,0.006, 
-0.0128619,0.0095114,1.48702,80,5,0.007, 
-0.0154342,0.0095114,1.48702,80,5,0.009, 
-0.020579,0.0095114,1.487,80,5,0.009, 
-0.0231513,0.0095114,1.48699,80,5,0.01, 
-0.0257212,0.0107856,1.48638,80,5,0.011, 
-0.0282933,0.0107856,1.48637,80,5,0.012, 
-0.0308654,0.0107856,1.48636,80,5,0.013, 
-0.0334375,0.0107856,1.48634,80,5,0.014, 
-0.0360096,0.0107856,1.48633,80,5,0.015, 
-0.0360096,0.0107856,1.48633,80,5,0.016, 
-0.0385779,0.0120596,1.48571,80,5,0.017, 
-0.0385779,0.0120596,1.48571,80,5,0.019, 
-0.0385779,0.0120596,1.48571,80,5,0.019, 
-0.0411498,0.0120596,1.48569,80,5,0.02, 
-0.0437257,0.0133362,1.48627,80,5,0.021, 
-0.0437257,0.0133362,1.48627,80,5,0.022, 
-0.0462978,0.0133362,1.48625,80,5,0.023, 
-0.0488698,0.0133362,1.48623,80,5,0.024, 
-0.0514419,0.0133362,1.48621,80,5,0.025, 
-0.0540139,0.0133362,1.48619,80,5,0.026, 
-0.0565859,0.0133362,1.48617,80,5,0.027, 
-0.0591579,0.0133362,1.48614,80,5,0.028, 
-0.0617299,0.0133362,1.48612,80,5,0.029, 
-0.0643019,0.0133362,1.48609,80,5,0.03, 
-0.0668739,0.0133362,1.48607,80,5,0.031, 
-0.0668739,0.0133362,1.48607,80,5,0.032, 
-0.0694459,0.0133362,1.48604,80,5,0.033, 
-0.0694459,0.0133362,1.48604,80,5,0.034, 
-0.0745898,0.0133362,1.48598,80,5,0.035, 
-0.0745898,0.0133362,1.48598,80,5,0.036, 
-0.0745898,0.0133362,1.48598,80,5,0.038, 
-0.0771617,0.0133362,1.48595,80,5,0.038, 
-0.0797336,0.0133362,1.48592,80,5,0.039, 
-0.0797336,0.0133362,1.48592,80,5,0.041, 
-0.0823055,0.0133362,1.48588,80,5,0.041, 
-0.0848774,0.0133362,1.48585,80,5,0.042, 
-0.0874493,0.0133362,1.48581,80,5,0.044, 
-0.0900212,0.0133362,1.48578,80,5,0.044, 
-0.092593,0.0133362,1.48574,80,5,0.045, 
-0.092593,0.0133362,1.48574,80,5,0.046, 
-0.0951649,0.0133362,1.4857,80,5,0.047, 
-0.0977367,0.0133362,1.48566,80,5,0.048, 
-0.100308,0.0133362,1.48562,80,5,0.049, 
-0.10288,0.0133362,1.48558,80,5,0.051, 
-0.105452,0.0133362,1.48553,80,5,0.051, 
-0.108024,0.0133362,1.48549,80,5,0.052, 
-0.110596,0.0133362,1.48545,80,5,0.053, 
-0.113167,0.0133362,1.4854,80,5,0.054, 
-0.115739,0.0133362,1.48535,80,5,0.055, 
-0.115739,0.0133362,1.48535,80,5,0.057, 
-0.118311,0.0133362,1.4853,80,5,0.057, 
-0.120882,0.0133362,1.48526,80,5,0.059, 
-0.123454,0.0133362,1.48521,80,5,0.059, 
-0.126025,0.0133362,1.48515,80,5,0.06, 
-0.128597,0.0133362,1.4851,80,5,0.061, 
-0.131169,0.0133362,1.48505,80,5,0.062, 
-0.13374,0.0133362,1.48499,80,5,0.064, 
-0.136312,0.0133362,1.48494,80,5,0.064, 
-0.136312,0.0133362,1.48494,80,5,0.065, 
-0.138883,0.0133362,1.48488,80,5,0.067, 
-0.141455,0.0133362,1.48482,80,5,0.068, 
-0.144026,0.0133362,1.48477,80,5,0.069, 
-0.146598,0.0133362,1.48471,80,5,0.07, 
-0.149169,0.0133362,1.48464,80,5,0.07, 
-0.15174,0.0133362,1.48458,80,5,0.072, 
-0.156883,0.0133362,1.48446,80,5,0.073, 
