x,y,z,color,target,time,
-0.0126725,-0.00699373,1.39492,160,8,0, 
-0.0126725,-0.00699373,1.39492,160,8,0.001, 
-0.010138,-0.00699373,1.39493,160,8,0.003, 
-0.010138,-0.00699373,1.39493,160,8,0.004, 
-0.010138,-0.00699373,1.39493,160,8,0.005, 
-0.010137,-0.00824973,1.39429,160,8,0.006, 
-0.010137,-0.00824973,1.39429,160,8,0.006, 
-0.010138,-0.00950701,1.39493,160,8,0.007, 
-0.010138,-0.00950701,1.39493,160,8,0.008, 
-0.010138,-0.00950701,1.39493,160,8,0.01, 
-0.010138,-0.00950701,1.39493,160,8,0.011, 
-0.010138,-0.00950701,1.39493,160,8,0.012, 
-0.010138,-0.00950701,1.39493,160,8,0.013, 
-0.010138,-0.00950701,1.39493,160,8,0.014, 
-0.010138,-0.00950701,1.39493,160,8,0.014, 
-0.010138,-0.00950701,1.39493,160,8,0.016, 
-0.010138,-0.00950701,1.39493,160,8,0.017, 
-0.010138,-0.00950701,1.39493,160,8,0.018, 
-0.010138,-0.00950701,1.39493,160,8,0.019, 
-0.010138,-0.00950701,1.39493,160,8,0.019, 
-0.010138,-0.00950701,1.39493,160,8,0.021, 
-0.010138,-0.00950701,1.39493,160,8,0.021, 
-0.0101391,-0.0107645,1.39557,160,8,0.022, 
-0.0101391,-0.0107645,1.39557,160,8,0.023, 
-0.00760351,-0.0120203,1.39494,160,8,0.025, 
-0.00760351,-0.0120203,1.39494,160,8,0.026, 
-0.00760351,-0.0120203,1.39494,160,8,0.026, 
-0.00760351,-0.0120203,1.39494,160,8,0.027, 
-0.00760351,-0.0120203,1.39494,160,8,0.029, 
-0.00760351,-0.0120203,1.39494,160,8,0.03, 
-0.00760351,-0.0120203,1.39494,160,8,0.031, 
-0.00760351,-0.0120203,1.39494,160,8,0.031, 
-0.00760351,-0.0120203,1.39494,160,8,0.033, 
-0.00760351,-0.0120203,1.39494,160,8,0.034, 
-0.00760351,-0.0120203,1.39494,160,8,0.035, 
-0.00760351,-0.0120203,1.39494,160,8,0.036, 
-0.00760351,-0.0120203,1.39494,160,8,0.037, 
-0.00760351,-0.0120203,1.39494,160,8,0.037, 
-0.00760351,-0.0120203,1.39494,160,8,0.038, 
-0.00760351,-0.0120203,1.39494,160,8,0.04, 
-0.00760351,-0.0120203,1.39494,160,8,0.041, 
-0.00760351,-0.0120203,1.39494,160,8,0.042, 
-0.00760351,-0.0120203,1.39494,160,8,0.043, 
-0.00760351,-0.0120203,1.39494,160,8,0.044, 
-0.00760351,-0.0120203,1.39494,160,8,0.045, 
-0.00760351,-0.0120203,1.39494,160,8,0.046, 
-0.00760351,-0.0120203,1.39494,160,8,0.047, 
-0.00760351,-0.0120203,1.39494,160,8,0.048, 
-0.00760351,-0.0120203,1.39494,160,8,0.049, 
-0.00760351,-0.0120203,1.39494,160,8,0.05, 
-0.00760351,-0.0120203,1.39494,160,8,0.05, 
-0.00760351,-0.0120203,1.39494,160,8,0.052, 
-0.00760351,-0.0120203,1.39494,160,8,0.053, 
-0.00760351,-0.0120203,1.39494,160,8,0.054, 
-0.00760351,-0.0120203,1.39494,160,8,0.055, 
-0.00760351,-0.0145336,1.39494,160,8,0.056, 
-0.00760351,-0.0145336,1.39494,160,8,0.057, 
-0.00760351,-0.0145336,1.39494,160,8,0.058, 
-0.00760351,-0.0145336,1.39494,160,8,0.059, 
-0.00760351,-0.0145336,1.39494,160,8,0.06, 
-0.00760351,-0.0145336,1.39494,160,8,0.061, 
-0.00760351,-0.0145336,1.39494,160,8,0.062, 
-0.00760351,-0.0145336,1.39494,160,8,0.063, 
-0.00760351,-0.0145336,1.39494,160,8,0.064, 
-0.00760351,-0.0145336,1.39494,160,8,0.065, 
-0.00760351,-0.0145336,1.39494,160,8,0.066, 
-0.00760351,-0.0145336,1.39494,160,8,0.067, 
